Team,G,MP,FG.,Dist.,X..of.2P,X..of.0.3,X..of.3.10,X..of.10.16,X..of.16.3P,X..of.3P,X2P..,X0.3..,X3.10..,X10.16..,X16.3P..,X3P..,X2P..Ast.d,Dunk..FGA,Dunk.Md.,X3P..Ast.d,Corner..3PA,X3P.,Heaves.Att.,Heaves.Md.,year
Milwaukee Bucks,82,19880,0.438,12.1,0.769,0.314,0.168,0.106,0.182,0.231,0.464,0.584,0.365,0.389,0.392,0.353,0.547,0.038,232,0.812,0.182,0.375,5,0,2014
Minnesota Timberwolves,82,19855,0.444,12.1,0.755,0.334,0.157,0.091,0.174,0.245,0.478,0.619,0.386,0.348,0.358,0.341,0.564,0.042,278,0.838,0.224,0.332,14,1,2014
New Orleans Pelicans,82,19855,0.459,11.5,0.807,0.332,0.183,0.107,0.184,0.193,0.479,0.598,0.37,0.419,0.409,0.373,0.506,0.05,305,0.866,0.231,0.382,20,0,2014
New York Knicks,82,19855,0.449,14.4,0.698,0.252,0.112,0.111,0.222,0.302,0.482,0.628,0.355,0.412,0.417,0.372,0.45,0.055,342,0.818,0.207,0.394,21,0,2014
Oklahoma City Thunder,82,19805,0.471,13,0.729,0.282,0.149,0.131,0.167,0.271,0.512,0.668,0.391,0.434,0.418,0.361,0.521,0.071,445,0.715,0.239,0.353,17,0,2014
Orlando Magic,82,19955,0.445,13.1,0.765,0.277,0.152,0.103,0.232,0.235,0.474,0.601,0.385,0.434,0.399,0.353,0.523,0.036,230,0.783,0.284,0.359,14,0,2014
Philadelphia 76ers,82,19855,0.435,11.4,0.742,0.353,0.19,0.087,0.111,0.258,0.477,0.601,0.356,0.374,0.373,0.312,0.507,0.043,282,0.879,0.193,0.331,13,3,2014
Phoenix Suns,82,19755,0.463,13.1,0.7,0.29,0.149,0.118,0.143,0.3,0.503,0.648,0.374,0.43,0.403,0.372,0.388,0.05,305,0.824,0.273,0.404,16,0,2014
Portland Trail Blazers,82,19855,0.45,13.9,0.71,0.258,0.133,0.11,0.208,0.29,0.481,0.628,0.368,0.387,0.422,0.372,0.523,0.041,269,0.816,0.252,0.39,10,0,2014
Sacramento Kings,82,19830,0.447,12.3,0.782,0.249,0.239,0.106,0.188,0.218,0.479,0.665,0.391,0.412,0.383,0.333,0.463,0.056,338,0.76,0.205,0.374,8,1,2014
San Antonio Spurs,82,19755,0.486,12.6,0.743,0.287,0.185,0.09,0.181,0.257,0.517,0.673,0.437,0.389,0.413,0.397,0.554,0.033,204,0.872,0.299,0.41,11,0,2014
Toronto Raptors,82,19955,0.445,13.6,0.715,0.226,0.206,0.103,0.181,0.285,0.475,0.642,0.417,0.402,0.372,0.372,0.501,0.043,260,0.835,0.259,0.388,12,2,2014
Utah Jazz,82,19780,0.444,12.7,0.763,0.281,0.177,0.106,0.199,0.237,0.474,0.653,0.367,0.374,0.372,0.344,0.486,0.052,314,0.91,0.244,0.393,21,0,2014
Washington Wizards,82,20055,0.459,13.2,0.754,0.273,0.143,0.116,0.221,0.246,0.485,0.676,0.374,0.366,0.384,0.38,0.525,0.046,305,0.895,0.306,0.401,14,1,2014
All Teams,82,19841,0.454,12.8,0.741,0.286,0.169,0.105,0.18,0.259,0.488,0.636,0.39,0.401,0.395,0.36,0.518,0.048,301,0.837,0.248,0.39,14.8,0.5,2014
Atlanta Hawks,82,19730,0.466,13.2,0.679,0.29,0.158,0.08,0.151,0.321,0.506,0.636,0.392,0.386,0.441,0.38,0.591,0.038,225,0.918,0.275,0.421,3,0,2015
Boston Celtics,82,19880,0.443,13.3,0.72,0.279,0.145,0.103,0.193,0.28,0.488,0.623,0.383,0.408,0.416,0.327,0.565,0.041,267,0.877,0.204,0.374,16,0,2015
Brooklyn Nets,82,19930,0.451,12.4,0.76,0.268,0.213,0.116,0.164,0.24,0.489,0.617,0.444,0.406,0.396,0.331,0.488,0.04,243,0.887,0.284,0.391,24,0,2015
Chicago Bulls,82,19880,0.442,12.6,0.731,0.308,0.156,0.099,0.163,0.269,0.474,0.589,0.394,0.373,0.401,0.353,0.525,0.038,237,0.842,0.216,0.386,18,2,2015
Charlotte Hornets,82,19905,0.42,13.2,0.774,0.263,0.153,0.124,0.234,0.226,0.45,0.571,0.381,0.388,0.391,0.318,0.521,0.032,202,0.791,0.177,0.39,16,0,2015
Cleveland Cavaliers,82,19780,0.458,13.2,0.666,0.295,0.156,0.092,0.124,0.334,0.504,0.649,0.358,0.387,0.432,0.367,0.509,0.064,393,0.803,0.289,0.364,4,1,2015
Dallas Mavericks,82,19880,0.463,13.3,0.704,0.287,0.142,0.094,0.182,0.296,0.509,0.661,0.379,0.42,0.417,0.352,0.482,0.057,364,0.857,0.229,0.393,10,1,2015
Denver Nuggets,82,19880,0.433,12.7,0.716,0.297,0.177,0.09,0.151,0.284,0.476,0.624,0.349,0.397,0.38,0.325,0.506,0.057,358,0.839,0.236,0.344,22,1,2015
Detroit Pistons,82,19830,0.432,12.2,0.71,0.323,0.192,0.065,0.128,0.29,0.468,0.601,0.329,0.381,0.386,0.344,0.512,0.043,273,0.815,0.24,0.396,20,0,2015
Golden State Warriors,82,19730,0.478,13.5,0.689,0.286,0.145,0.104,0.154,0.311,0.514,0.675,0.371,0.443,0.397,0.398,0.602,0.062,396,0.821,0.221,0.46,24,0,2015
Houston Rockets,82,19805,0.444,13.2,0.608,0.309,0.184,0.047,0.068,0.392,0.506,0.636,0.391,0.351,0.328,0.348,0.496,0.057,361,0.833,0.327,0.393,17,0,2015
Indiana Pacers,82,19855,0.439,13.5,0.745,0.244,0.173,0.105,0.222,0.255,0.469,0.604,0.4,0.377,0.418,0.352,0.516,0.027,155,0.858,0.266,0.383,17,0,2015
Los Angeles Clippers,82,19730,0.473,14.5,0.678,0.241,0.119,0.096,0.217,0.322,0.519,0.682,0.406,0.436,0.434,0.376,0.563,0.063,386,0.82,0.264,0.394,11,0,2015
Los Angeles Lakers,82,19930,0.435,13,0.78,0.263,0.151,0.131,0.232,0.22,0.461,0.651,0.35,0.376,0.366,0.344,0.527,0.043,276,0.726,0.183,0.396,7,0,2015
Memphis Grizzlies,82,19905,0.458,11.5,0.816,0.305,0.202,0.13,0.179,0.184,0.485,0.625,0.404,0.419,0.386,0.339,0.528,0.029,173,0.865,0.262,0.383,22,2,2015
Miami Heat,82,19730,0.456,12.8,0.738,0.294,0.141,0.118,0.184,0.262,0.499,0.629,0.438,0.425,0.386,0.335,0.481,0.047,277,0.905,0.318,0.375,17,1,2015
Milwaukee Bucks,82,19930,0.459,11.9,0.777,0.337,0.137,0.111,0.193,0.223,0.486,0.609,0.352,0.437,0.394,0.363,0.57,0.052,320,0.89,0.316,0.403,4,0,2015
Minnesota Timberwolves,82,19805,0.438,12,0.821,0.284,0.176,0.122,0.234,0.179,0.461,0.624,0.36,0.408,0.367,0.332,0.557,0.054,332,0.825,0.217,0.368,12,0,2015
New Orleans Pelicans,82,19780,0.457,11.9,0.767,0.347,0.152,0.098,0.169,0.233,0.484,0.592,0.385,0.406,0.398,0.37,0.513,0.05,313,0.875,0.239,0.412,17,0,2015
New York Knicks,82,19855,0.428,13.7,0.76,0.239,0.146,0.125,0.246,0.24,0.454,0.588,0.363,0.397,0.41,0.347,0.55,0.035,213,0.836,0.187,0.351,16,1,2015
Oklahoma City Thunder,82,19830,0.447,12.4,0.738,0.302,0.158,0.113,0.165,0.262,0.486,0.616,0.384,0.437,0.377,0.339,0.461,0.051,328,0.797,0.247,0.373,12,0,2015
Orlando Magic,82,19755,0.453,12,0.765,0.315,0.184,0.094,0.172,0.235,0.486,0.613,0.385,0.384,0.416,0.347,0.48,0.052,315,0.868,0.26,0.373,11,0,2015
Philadelphia 76ers,82,19805,0.408,12.4,0.681,0.318,0.172,0.068,0.114,0.319,0.449,0.592,0.318,0.325,0.317,0.32,0.52,0.051,318,0.873,0.178,0.341,16,0,2015
Phoenix Suns,82,19880,0.452,13.1,0.709,0.293,0.139,0.125,0.153,0.291,0.497,0.644,0.373,0.429,0.382,0.341,0.443,0.045,291,0.801,0.289,0.362,19,1,2015
Portland Trail Blazers,82,19855,0.45,14.2,0.684,0.247,0.134,0.112,0.19,0.316,0.491,0.652,0.411,0.402,0.392,0.362,0.495,0.034,227,0.776,0.249,0.391,14,0,2015
Sacramento Kings,82,19855,0.455,11.5,0.796,0.299,0.222,0.094,0.181,0.204,0.484,0.655,0.355,0.417,0.395,0.341,0.503,0.066,391,0.837,0.299,0.367,12,0,2015
San Antonio Spurs,82,19955,0.468,12.5,0.731,0.276,0.203,0.103,0.148,0.269,0.505,0.636,0.461,0.403,0.394,0.367,0.544,0.028,172,0.919,0.287,0.425,10,0,2015
Toronto Raptors,82,19855,0.455,13.2,0.698,0.253,0.195,0.104,0.146,0.302,0.499,0.646,0.446,0.393,0.393,0.352,0.476,0.042,259,0.781,0.261,0.413,10,0,2015
Utah Jazz,82,19705,0.447,12.6,0.726,0.296,0.173,0.096,0.161,0.274,0.486,0.673,0.332,0.395,0.363,0.343,0.473,0.066,401,0.9,0.275,0.376,18,1,2015
Washington Wizards,82,19955,0.462,12.6,0.797,0.286,0.142,0.138,0.23,0.203,0.488,0.658,0.385,0.409,0.389,0.36,0.578,0.05,327,0.889,0.279,0.371,12,0,2015
All Teams,82,19839,0.449,12.8,0.732,0.288,0.165,0.103,0.175,0.268,0.485,0.628,0.383,0.403,0.394,0.35,0.52,0.047,293,0.843,0.253,0.387,14.4,0.4,2015
Atlanta Hawks,82,19830,0.458,12.7,0.664,0.326,0.121,0.078,0.138,0.336,0.512,0.623,0.377,0.431,0.415,0.35,0.582,0.037,222,0.896,0.244,0.36,12,1,2016
Boston Celtics,82,19780,0.439,12.4,0.707,0.318,0.141,0.094,0.154,0.293,0.483,0.624,0.355,0.378,0.373,0.335,0.546,0.025,169,0.856,0.232,0.345,12,0,2016
Brooklyn Nets,82,19755,0.453,11.6,0.782,0.284,0.211,0.106,0.181,0.218,0.481,0.608,0.426,0.404,0.392,0.352,0.53,0.032,202,0.844,0.309,0.391,13,0,2016
Chicago Bulls,82,19905,0.441,12.2,0.756,0.291,0.162,0.117,0.185,0.244,0.464,0.573,0.391,0.4,0.398,0.371,0.515,0.039,255,0.883,0.224,0.397,16,1,2016
Charlotte Hornets,82,19855,0.439,13.7,0.652,0.274,0.129,0.093,0.156,0.348,0.479,0.599,0.394,0.383,0.397,0.362,0.482,0.029,177,0.84,0.171,0.409,9,1,2016
Cleveland Cavaliers,82,19855,0.46,13.3,0.648,0.28,0.149,0.095,0.125,0.352,0.514,0.658,0.391,0.378,0.438,0.362,0.481,0.057,358,0.861,0.26,0.391,5,1,2016
Dallas Mavericks,82,20005,0.444,13.7,0.661,0.243,0.149,0.111,0.159,0.339,0.495,0.656,0.369,0.431,0.412,0.344,0.5,0.033,214,0.847,0.213,0.39,17,0,2016
Denver Nuggets,82,19830,0.442,11.8,0.723,0.342,0.158,0.08,0.142,0.277,0.482,0.586,0.389,0.373,0.397,0.338,0.543,0.055,356,0.811,0.21,0.34,18,2,2016
Detroit Pistons,82,19880,0.439,12.3,0.697,0.294,0.184,0.104,0.116,0.303,0.48,0.61,0.369,0.41,0.388,0.345,0.422,0.037,232,0.803,0.254,0.374,30,1,2016
Golden State Warriors,82,19880,0.487,13.5,0.638,0.301,0.125,0.093,0.119,0.362,0.528,0.66,0.362,0.422,0.452,0.416,0.626,0.062,402,0.792,0.229,0.413,22,2,2016
Houston Rockets,82,19830,0.452,12.5,0.63,0.321,0.164,0.064,0.082,0.37,0.514,0.651,0.356,0.4,0.379,0.347,0.508,0.07,442,0.793,0.307,0.36,21,0,2016
Indiana Pacers,82,19880,0.45,13.1,0.73,0.27,0.133,0.108,0.219,0.27,0.486,0.635,0.435,0.39,0.381,0.351,0.487,0.038,245,0.804,0.273,0.398,13,0,2016
Los Angeles Clippers,82,19830,0.465,14.2,0.676,0.239,0.129,0.093,0.215,0.324,0.513,0.675,0.438,0.425,0.417,0.364,0.526,0.057,346,0.799,0.226,0.405,14,0,2016
Los Angeles Lakers,82,19730,0.414,13,0.71,0.255,0.163,0.125,0.168,0.29,0.454,0.59,0.403,0.369,0.358,0.317,0.45,0.049,307,0.734,0.192,0.33,20,0,2016
Memphis Grizzlies,82,19830,0.44,11.4,0.778,0.313,0.19,0.103,0.172,0.222,0.471,0.583,0.389,0.416,0.392,0.331,0.502,0.037,218,0.859,0.267,0.323,21,2,2016
Miami Heat,82,19830,0.47,11.6,0.779,0.303,0.166,0.128,0.182,0.221,0.508,0.663,0.422,0.407,0.401,0.336,0.47,0.054,341,0.928,0.372,0.358,15,1,2016
Milwaukee Bucks,82,19830,0.467,10.1,0.811,0.365,0.19,0.106,0.149,0.189,0.495,0.617,0.402,0.397,0.387,0.345,0.555,0.071,446,0.895,0.281,0.354,14,0,2016
Minnesota Timberwolves,82,19880,0.464,11.9,0.798,0.298,0.16,0.101,0.239,0.202,0.496,0.661,0.41,0.372,0.4,0.338,0.578,0.061,376,0.855,0.208,0.386,8,0,2016
New Orleans Pelicans,82,19780,0.448,12.5,0.723,0.304,0.144,0.101,0.174,0.277,0.482,0.597,0.38,0.385,0.419,0.36,0.51,0.059,369,0.808,0.229,0.332,12,1,2016
New York Knicks,82,19805,0.439,13,0.744,0.245,0.154,0.143,0.201,0.256,0.471,0.585,0.425,0.407,0.412,0.346,0.477,0.031,200,0.869,0.231,0.405,13,0,2016
Oklahoma City Thunder,82,19830,0.476,11.9,0.725,0.33,0.126,0.122,0.146,0.275,0.524,0.626,0.438,0.478,0.41,0.349,0.508,0.07,447,0.758,0.291,0.357,6,0,2016
Orlando Magic,82,19905,0.455,12.5,0.745,0.296,0.15,0.093,0.206,0.255,0.492,0.609,0.422,0.409,0.409,0.35,0.528,0.045,284,0.873,0.241,0.37,21,0,2016
Philadelphia 76ers,82,19805,0.431,12.4,0.673,0.311,0.166,0.096,0.099,0.327,0.476,0.628,0.341,0.361,0.338,0.339,0.501,0.061,377,0.861,0.234,0.366,14,1,2016
Phoenix Suns,82,19705,0.435,12.6,0.698,0.3,0.151,0.092,0.155,0.302,0.472,0.614,0.349,0.396,0.362,0.348,0.47,0.056,351,0.831,0.226,0.368,12,0,2016
Portland Trail Blazers,82,19805,0.45,13.3,0.668,0.282,0.137,0.092,0.157,0.332,0.49,0.607,0.361,0.436,0.423,0.37,0.469,0.052,328,0.771,0.238,0.388,11,0,2016
Sacramento Kings,82,19805,0.464,11.6,0.74,0.297,0.223,0.066,0.155,0.26,0.5,0.65,0.404,0.411,0.389,0.359,0.55,0.059,374,0.856,0.23,0.418,15,0,2016
San Antonio Spurs,82,19705,0.484,12.2,0.777,0.264,0.175,0.137,0.201,0.223,0.515,0.667,0.452,0.44,0.421,0.375,0.549,0.033,206,0.905,0.283,0.373,11,0,2016
Toronto Raptors,82,19780,0.451,12.3,0.713,0.277,0.187,0.111,0.139,0.287,0.483,0.624,0.409,0.394,0.374,0.37,0.4,0.043,265,0.869,0.29,0.413,9,1,2016
Utah Jazz,82,19955,0.449,12.3,0.703,0.282,0.177,0.119,0.126,0.297,0.488,0.633,0.394,0.401,0.378,0.355,0.435,0.06,363,0.821,0.314,0.389,22,0,2016
Washington Wizards,82,19755,0.46,12.9,0.718,0.291,0.129,0.111,0.188,0.282,0.501,0.638,0.41,0.415,0.4,0.358,0.548,0.039,254,0.872,0.246,0.382,14,1,2016
All Teams,82,19826,0.452,12.5,0.715,0.293,0.158,0.103,0.162,0.285,0.491,0.624,0.396,0.405,0.398,0.354,0.51,0.048,304,0.836,0.248,0.377,14.7,0.5,2016
Atlanta Hawks,82,19880,0.451,13,0.691,0.331,0.117,0.092,0.151,0.309,0.501,0.616,0.349,0.394,0.429,0.341,0.542,0.054,341,0.879,0.234,0.388,12,0,2017
Boston Celtics,82,19755,0.454,14.2,0.607,0.296,0.129,0.071,0.111,0.393,0.515,0.633,0.395,0.417,0.405,0.359,0.57,0.033,211,0.836,0.22,0.41,20,0,2017
Brooklyn Nets,82,19755,0.444,13.2,0.629,0.309,0.173,0.077,0.07,0.371,0.506,0.613,0.418,0.391,0.374,0.338,0.454,0.035,225,0.851,0.215,0.373,21,0,2017
Chicago Bulls,82,19780,0.444,12.8,0.744,0.28,0.167,0.117,0.179,0.256,0.479,0.6,0.449,0.393,0.377,0.34,0.513,0.038,248,0.875,0.289,0.415,9,0,2017
Charlotte Hornets,82,19830,0.442,13.9,0.665,0.282,0.133,0.099,0.152,0.335,0.488,0.61,0.4,0.419,0.38,0.351,0.545,0.034,218,0.795,0.133,0.377,15,1,2017
Cleveland Cavaliers,82,19880,0.47,14.4,0.601,0.284,0.11,0.092,0.115,0.399,0.528,0.666,0.362,0.428,0.425,0.384,0.441,0.059,381,0.829,0.293,0.412,7,0,2017
Dallas Mavericks,82,19780,0.44,15.4,0.634,0.201,0.127,0.116,0.189,0.366,0.489,0.637,0.444,0.441,0.391,0.355,0.474,0.04,237,0.813,0.196,0.371,17,0,2017
Denver Nuggets,82,19755,0.469,12.8,0.671,0.33,0.156,0.078,0.108,0.329,0.519,0.627,0.441,0.386,0.397,0.368,0.526,0.053,347,0.87,0.192,0.387,19,0,2017
Detroit Pistons,82,19805,0.449,13.1,0.737,0.25,0.189,0.141,0.157,0.263,0.492,0.646,0.384,0.445,0.416,0.33,0.455,0.043,283,0.845,0.203,0.384,30,1,2017
Golden State Warriors,82,19780,0.495,14.1,0.641,0.303,0.102,0.107,0.129,0.359,0.557,0.69,0.408,0.43,0.469,0.383,0.656,0.075,500,0.832,0.208,0.409,30,1,2017
Houston Rockets,82,19780,0.462,14.4,0.538,0.321,0.125,0.041,0.05,0.462,0.552,0.667,0.391,0.375,0.374,0.357,0.546,0.076,483,0.771,0.201,0.39,14,0,2017
Indiana Pacers,82,19855,0.465,13.5,0.728,0.241,0.186,0.107,0.194,0.272,0.498,0.625,0.464,0.417,0.418,0.376,0.498,0.035,223,0.838,0.258,0.403,18,0,2017
Los Angeles Clippers,82,19755,0.475,14.3,0.671,0.275,0.118,0.081,0.197,0.329,0.525,0.661,0.419,0.423,0.439,0.375,0.494,0.067,414,0.786,0.198,0.423,17,2,2017
Los Angeles Lakers,82,19705,0.45,12.6,0.705,0.299,0.187,0.103,0.118,0.295,0.493,0.633,0.397,0.379,0.39,0.346,0.462,0.056,358,0.771,0.217,0.368,16,1,2017
Memphis Grizzlies,82,19905,0.435,13.5,0.684,0.288,0.158,0.092,0.144,0.316,0.473,0.58,0.416,0.385,0.38,0.354,0.504,0.033,203,0.811,0.192,0.409,31,0,2017
Miami Heat,82,19780,0.455,13,0.686,0.29,0.169,0.094,0.131,0.314,0.496,0.63,0.412,0.387,0.389,0.365,0.427,0.054,350,0.89,0.301,0.4,14,0,2017
Milwaukee Bucks,82,19780,0.474,11.8,0.71,0.351,0.174,0.077,0.108,0.29,0.516,0.644,0.402,0.377,0.387,0.37,0.534,0.073,448,0.928,0.276,0.387,12,0,2017
Minnesota Timberwolves,82,19805,0.467,12.4,0.751,0.304,0.164,0.097,0.186,0.249,0.507,0.645,0.437,0.392,0.402,0.349,0.535,0.059,382,0.884,0.267,0.393,11,0,2017
New Orleans Pelicans,82,19905,0.45,13.3,0.692,0.279,0.17,0.094,0.149,0.308,0.495,0.627,0.417,0.427,0.38,0.35,0.503,0.048,313,0.833,0.219,0.373,11,0,2017
New York Knicks,82,19855,0.447,13.2,0.721,0.291,0.126,0.132,0.172,0.279,0.485,0.591,0.381,0.44,0.419,0.348,0.469,0.04,267,0.845,0.229,0.425,23,0,2017
Oklahoma City Thunder,82,19805,0.452,12.1,0.705,0.346,0.146,0.104,0.109,0.295,0.504,0.614,0.418,0.391,0.379,0.327,0.466,0.063,401,0.773,0.252,0.345,19,2,2017
Orlando Magic,82,19805,0.44,13.5,0.7,0.266,0.168,0.109,0.157,0.3,0.488,0.616,0.427,0.413,0.39,0.328,0.495,0.042,272,0.874,0.182,0.297,25,0,2017
Philadelphia 76ers,82,19830,0.442,13.2,0.651,0.309,0.149,0.092,0.1,0.349,0.496,0.638,0.376,0.384,0.344,0.34,0.541,0.047,301,0.875,0.154,0.406,8,0,2017
Phoenix Suns,82,19830,0.45,12.5,0.745,0.306,0.154,0.12,0.165,0.255,0.491,0.629,0.412,0.402,0.374,0.332,0.421,0.057,358,0.789,0.269,0.329,20,0,2017
Portland Trail Blazers,82,19930,0.459,13.4,0.678,0.299,0.141,0.091,0.148,0.322,0.499,0.596,0.418,0.441,0.417,0.375,0.444,0.048,306,0.789,0.199,0.375,18,0,2017
Sacramento Kings,82,19880,0.461,13.1,0.709,0.258,0.195,0.1,0.155,0.291,0.496,0.642,0.421,0.412,0.402,0.376,0.506,0.051,309,0.875,0.237,0.416,18,0,2017
San Antonio Spurs,82,19805,0.469,13.5,0.719,0.255,0.159,0.116,0.191,0.281,0.5,0.644,0.429,0.391,0.431,0.391,0.525,0.047,292,0.874,0.268,0.433,12,0,2017
Toronto Raptors,82,19780,0.464,13.2,0.711,0.254,0.185,0.12,0.153,0.289,0.505,0.631,0.45,0.449,0.407,0.363,0.372,0.04,256,0.817,0.273,0.381,12,1,2017
Utah Jazz,82,19755,0.466,13.1,0.673,0.297,0.152,0.105,0.118,0.327,0.511,0.651,0.413,0.427,0.363,0.372,0.454,0.069,416,0.799,0.28,0.385,14,1,2017
Washington Wizards,82,19855,0.475,13.1,0.716,0.3,0.137,0.108,0.169,0.284,0.515,0.629,0.429,0.426,0.442,0.372,0.496,0.047,302,0.858,0.254,0.351,10,0,2017
All Teams,82,19815,0.457,13.3,0.684,0.29,0.152,0.099,0.142,0.316,0.503,0.631,0.414,0.412,0.403,0.358,0.495,0.051,322,0.835,0.228,0.388,16.8,0.3,2017
Atlanta Hawks,82,19705,0.446,13.6,0.637,0.279,0.131,0.105,0.122,0.363,0.495,0.635,0.351,0.399,0.411,0.36,0.52,0.052,309,0.869,0.243,0.426,22,0,2018
Boston Celtics,82,19805,0.45,13.7,0.643,0.259,0.158,0.106,0.12,0.357,0.491,0.628,0.364,0.419,0.426,0.377,0.49,0.047,274,0.813,0.213,0.408,18,0,2018
Brooklyn Nets,82,19855,0.441,13.7,0.589,0.269,0.175,0.083,0.062,0.411,0.5,0.643,0.379,0.4,0.354,0.356,0.507,0.043,269,0.844,0.201,0.376,13,1,2018
Chicago Bulls,82,19855,0.435,13.6,0.65,0.254,0.165,0.095,0.135,0.35,0.478,0.624,0.39,0.388,0.377,0.355,0.51,0.039,261,0.848,0.184,0.372,15,0,2018
Charlotte Hornets,82,19780,0.45,13.2,0.686,0.273,0.16,0.114,0.138,0.314,0.487,0.642,0.38,0.408,0.37,0.369,0.484,0.046,300,0.756,0.154,0.369,22,1,2018
Cleveland Cavaliers,82,19730,0.476,13.8,0.621,0.297,0.113,0.092,0.119,0.379,0.54,0.706,0.368,0.413,0.387,0.372,0.478,0.051,319,0.819,0.252,0.417,13,0,2018
Dallas Mavericks,82,19805,0.444,14.4,0.618,0.241,0.135,0.105,0.137,0.382,0.496,0.652,0.4,0.385,0.405,0.36,0.491,0.048,295,0.824,0.169,0.416,20,0,2018
Denver Nuggets,82,19880,0.47,12.8,0.643,0.275,0.204,0.09,0.074,0.357,0.525,0.664,0.424,0.441,0.391,0.371,0.526,0.055,356,0.848,0.167,0.417,26,0,2018
Detroit Pistons,82,19805,0.45,13.1,0.667,0.26,0.185,0.107,0.116,0.333,0.488,0.657,0.346,0.433,0.388,0.373,0.465,0.044,271,0.889,0.227,0.392,19,1,2018
Golden State Warriors,82,19730,0.503,14,0.661,0.267,0.111,0.139,0.144,0.339,0.56,0.708,0.424,0.485,0.463,0.391,0.643,0.071,454,0.801,0.158,0.405,26,0,2018
Houston Rockets,82,19755,0.46,15,0.498,0.288,0.103,0.062,0.044,0.502,0.558,0.669,0.369,0.454,0.43,0.362,0.47,0.062,392,0.689,0.227,0.401,17,1,2018
Indiana Pacers,82,19755,0.472,13,0.716,0.293,0.136,0.096,0.191,0.284,0.513,0.638,0.42,0.449,0.422,0.369,0.465,0.041,250,0.819,0.22,0.425,21,0,2018
Los Angeles Clippers,82,19705,0.471,11.8,0.686,0.347,0.164,0.083,0.091,0.314,0.525,0.659,0.378,0.424,0.378,0.354,0.502,0.082,512,0.726,0.219,0.338,15,1,2018
Los Angeles Lakers,82,19905,0.461,12.4,0.671,0.321,0.168,0.086,0.096,0.329,0.517,0.67,0.39,0.354,0.378,0.345,0.492,0.059,385,0.865,0.159,0.372,17,0,2018
Memphis Grizzlies,82,19705,0.444,12.8,0.683,0.312,0.139,0.1,0.132,0.317,0.486,0.62,0.352,0.372,0.398,0.352,0.51,0.049,296,0.815,0.189,0.35,26,0,2018
Miami Heat,82,19930,0.455,13.2,0.642,0.279,0.163,0.095,0.104,0.358,0.508,0.658,0.416,0.383,0.367,0.36,0.457,0.053,336,0.908,0.256,0.388,18,0,2018
Milwaukee Bucks,82,19830,0.478,12.4,0.703,0.31,0.152,0.114,0.127,0.297,0.531,0.685,0.373,0.463,0.406,0.355,0.501,0.068,419,0.883,0.263,0.405,12,0,2018
Minnesota Timberwolves,82,19805,0.476,12.3,0.739,0.264,0.196,0.129,0.15,0.261,0.519,0.69,0.433,0.432,0.403,0.357,0.487,0.053,343,0.825,0.226,0.403,12,0,2018
New Orleans Pelicans,82,19955,0.483,12.5,0.681,0.295,0.179,0.099,0.109,0.319,0.54,0.667,0.475,0.441,0.396,0.362,0.549,0.054,362,0.876,0.233,0.399,14,0,2018
New York Knicks,82,19830,0.464,12.7,0.734,0.278,0.156,0.14,0.159,0.266,0.504,0.656,0.398,0.442,0.399,0.352,0.499,0.04,259,0.869,0.194,0.406,20,0,2018
Oklahoma City Thunder,82,19830,0.453,13.2,0.655,0.315,0.096,0.105,0.138,0.345,0.505,0.639,0.367,0.404,0.375,0.354,0.426,0.067,408,0.831,0.239,0.372,21,0,2018
Orlando Magic,82,19730,0.452,13.3,0.658,0.259,0.18,0.108,0.112,0.342,0.504,0.688,0.398,0.347,0.403,0.351,0.515,0.052,335,0.851,0.178,0.374,8,0,2018
Philadelphia 76ers,82,19780,0.472,13.3,0.656,0.272,0.168,0.109,0.107,0.344,0.526,0.702,0.401,0.383,0.421,0.369,0.556,0.06,386,0.954,0.151,0.397,20,0,2018
Phoenix Suns,82,19705,0.442,12.5,0.68,0.313,0.145,0.115,0.107,0.32,0.492,0.618,0.387,0.399,0.369,0.334,0.467,0.063,387,0.823,0.209,0.366,16,0,2018
Portland Trail Blazers,82,19755,0.452,13,0.676,0.283,0.155,0.111,0.127,0.324,0.493,0.609,0.383,0.434,0.418,0.366,0.416,0.039,246,0.721,0.175,0.386,4,0,2018
Sacramento Kings,82,19755,0.45,12.9,0.722,0.242,0.205,0.115,0.159,0.278,0.479,0.642,0.395,0.385,0.407,0.375,0.477,0.045,290,0.817,0.2,0.409,25,0,2018
San Antonio Spurs,82,19730,0.457,12.7,0.718,0.261,0.169,0.143,0.144,0.282,0.499,0.66,0.406,0.416,0.4,0.352,0.497,0.031,192,0.897,0.235,0.4,16,0,2018
Toronto Raptors,82,19830,0.472,13.2,0.623,0.291,0.16,0.098,0.074,0.377,0.541,0.681,0.414,0.428,0.419,0.358,0.499,0.05,338,0.816,0.243,0.396,19,1,2018
Utah Jazz,82,19755,0.462,13.2,0.643,0.284,0.151,0.1,0.108,0.357,0.515,0.674,0.37,0.398,0.408,0.366,0.5,0.069,434,0.805,0.268,0.418,14,0,2018
Washington Wizards,82,19855,0.467,13.4,0.69,0.243,0.159,0.139,0.149,0.31,0.508,0.673,0.418,0.436,0.405,0.375,0.548,0.042,248,0.88,0.192,0.376,17,0,2018
All Teams,82,19795,0.46,13.2,0.663,0.281,0.156,0.106,0.12,0.337,0.51,0.658,0.394,0.415,0.4,0.362,0.499,0.053,331,0.83,0.208,0.394,17.5,0.2,2018
